587,709,-36,16.2788206
677,707,-62,102.8250942
588,829,-41,109.772492
682,830,-61,153.4568343
749,705,-52,174.6453549
746,827,-70,201.7176244
585,939,-71,219.2281916
680,941,-63,244.675295
854,703,-59,279.5174413
748,942,-67,281.4480414
854,826,-53,298.4577022
854,938,-66,354.0692023
954,703,-76,379.3810749
955,825,-71,394.2397748
956,940,-67,439.9556796
1062,702,-75,487.3325353
1062,824,-74,497.9809233
1062,940,-51,534.3865642
1164,701,-72,589.3063719
1164,822,-75,597.7666769
1165,941,-75,630.0325388
1297,700,-82,722.2769552
1297,823,-78,729.3099478
1297,940,-63,754.7741384
