588,935,-32,37.65634077
588,829,-57,118.9033221
680,941,-46,129.0038759
682,830,-57,172.3513853
748,942,-58,197
746,827,-66,226.3846285
587,709,-47,235.7647132
677,707,-54,266.6477077
854,938,-59,303.0264015
749,705,-48,308.8251933
854,826,-63,324.4456811
854,703,-71,385.9144983
956,940,-59,405.0049382
955,825,-54,420.6007608
954,703,-66,468.5402864
1062,940,-52,511.0039139
1062,824,-71,524.4473281
1062,702,-66,564.5538061
1165,941,-69,614.0008143
1164,822,-69,624.6350935
1164,701,-70,658.6729082
1297,940,-59,746.002681
1297,823,-70,755.4316647
1297,700,-77,784.2703615
